Complex Group,Product Name,Merchant Id,MRP,Price,Brand,Vertical Id,Validate,Status,Fulfillment Service,Managed By Paytm,Salesforce Case Id,Merchant SKU,Return Policy Id,Category Id 1,Image Folder,Prefetch Title,videos,video_thumbnail,Online,Paytm SKU,ProductId,,,
1678091383267A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_107,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671CFCB16D,343974573,,,
1678091383303A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_143,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566716FFDB070,343974585,,,
1678091383275A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_115,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671FBE9E100,343974586,,,
1678091383259A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_99,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671F4C51776,343974575,,,
1678091383219A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_59,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566715870587A,343974589,,,
1678091383215A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_55,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667151C61451,343974588,,,
1678091383305A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_145,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671869E1545,343974602,,,
1678091383279A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_119,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671F25FAD2B,343974597,,,
1678091383293A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_133,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667120BC26B7,343974598,,,
1678091383252A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_92,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566716317CEFE,343974600,,,
1678091383224A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_64,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671DEC7704,343974590,,,
1678091383235A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_75,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667163F076D3,343974591,,,
1678091383197A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_37,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671E992D2FB,343974593,,,
1678091383271A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_111,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671FC842519,343974603,,,
1678091383272A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_112,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671658D74A3,343974604,,,
1678091383329A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_169,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671BD1E3BEC,343974610,,,
1678091383335A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_175,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671ADB34686,343974611,,,
1678091383274A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_114,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566718CEED196,343974609,,,
1678091383233A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_73,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566718A93D3E6,343974592,,,
1678091383213A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_53,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671B8A5B164,343974594,,,
1678091383234A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_74,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667114F74645,343974599,,,
1678091383277A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_117,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667115E7802C,343974605,,,
1678091383270A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_110,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566718B83158F,343974607,,,
1678091383328A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_168,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671CA190B7A,343974612,,,
1678091383343A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_183,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671C348FF7C,343974614,,,
1678091383336A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_176,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667134BA173C,343974613,,,
1678091383240A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_80,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667194029E93,343974608,,,
1678091383349A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_189,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671239D1662,343974615,,,
1678091383314A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_154,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671E8821492,343974616,,,
1678091383309A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_149,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566718F28596E,343974617,,,
1678091383276A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_116,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667162E0B0BA,343974606,,,
1678091383287A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_127,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566713ECAD3EF,343974620,,,
1678091383288A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_128,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671AE75CE7E,343974621,,,
1678091383319A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_159,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566719633682F,343974618,,,
1678091383379A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_219,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671F0191372,343974626,,,
1678091383380A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_220,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671A2E8F815,343974627,,,
1678091383308A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_148,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671F82F69F8,343974619,,,
1678091383294A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_134,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671BED8B314,343974622,,,
1678091383261A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_101,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671E59F1458,343974623,,,
1678091383262A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_102,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566717C9645E2,343974624,,,
1678091383355A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_195,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667133306B08,343974628,,,
1678091383363A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_203,11,75975,4/557962_4,1,,,1,ENTEVENTCSK11566719D7CB2D,343974630,,,
1678091383278A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_118,11,75975,4/557962_4,1,,,1,ENTEVENTCSK115667185589DBD,343974632,,,
1678091383281A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_121,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671D7A976DA,343974634,,,
1678091383255A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_95,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671FD735B5D,343974640,,,
1678091383256A,Event,1156671,0,0,Paytm,73,No,Active,107,No,Default,CSKIPL23_96,11,75975,4/557962_4,1,,,1,ENTEVENTCSK1156671647A0AE7,343974625,,,
