Clone_From_Item_Id, Clone_To_Event_Id, Name, Capacity, Price, Phase_Group_Name, Phase_Group_Capacity
670ed2a6c49a868a2409aefc,67601921ff7733b6863a85d6,MCA Pavilion K L1,373,0,MCA Pavilion K L1,373
670ed30dd195f993e7c0817b,67601921ff7733b6863a85d6,MCA Pavilion L L1,434,0,MCA Pavilion L L1,434
670ed35a9fea2048e01223a8,67601921ff7733b6863a85d6,MCA Pavilion M L1,433,0,MCA Pavilion M L1,433
670ed3c89fea2048e0124dac,67601921ff7733b6863a85d6,Vithal Divecha Pavilion A L3,432,350,Vithal Divecha Pavilion A L3,432
670ed4c10a72339f3f51eca5,67601921ff7733b6863a85d6,Vithal Divecha Pavilion B L3,491,350,Vithal Divecha Pavilion B L3,491
670ed5ebbcf1c7d113f80e38,67601921ff7733b6863a85d6,Vithal Divecha Pavilion C L3,416,350,Vithal Divecha Pavilion C L3,416
670ed724d195f993e7c1543b,67601921ff7733b6863a85d6,Vithal Divecha Pavilion D L2,162,350,Vithal Divecha Pavilion D L2,162
670ed786bcf1c7d113f870eb,67601921ff7733b6863a85d6,Vithal Divecha Pavilion E L2,217,350,Vithal Divecha Pavilion E L2,217
670ed80b7d9bda34b54ad966,67601921ff7733b6863a85d6,Vithal Divecha Pavilion F L2,150,350,Vithal Divecha Pavilion F L2,150
670ed8625817ecb6ab54f688,67601921ff7733b6863a85d6,Vithal Divecha Pavilion G L1,398,350,Vithal Divecha Pavilion G L1,398
670ed8e0d8b5ae2f109bb9ff,67601921ff7733b6863a85d6,Vithal Divecha Pavilion H L1,341,350,Vithal Divecha Pavilion H L1,341
670ed9404af45ada2ccd446c,67601921ff7733b6863a85d6,Vithal Divecha Pavilion I L1,400,350,Vithal Divecha Pavilion I L1,400
670edcb54af45ada2cce1526,67601921ff7733b6863a85d6,Sunil Gavaskar Pavilion A Block L2 ,302,300,Sunil Gavaskar Pavilion A Block L2 ,302
670edd625817ecb6ab563a4e,67601921ff7733b6863a85d6,Sunil Gavaskar Pavilion B Block L2 ,243,300,Sunil Gavaskar Pavilion B Block L2 ,243
670eddc27f069514cd561831,67601921ff7733b6863a85d6,Sunil Gavaskar Pavilion C Block L2 ,209,300,Sunil Gavaskar Pavilion C Block L2 ,209
670ede24ae0e7e6446496026,67601921ff7733b6863a85d6,Sunil Gavaskar Pavilion D Block L2 ,241,300,Sunil Gavaskar Pavilion D Block L2 ,241
670ededf4af45ada2cce8612,67601921ff7733b6863a85d6,Sunil Gavaskar Pavilion E Block L2 ,243,300,Sunil Gavaskar Pavilion E Block L2 ,243
670edf55a9d2ef1619133a70,67601921ff7733b6863a85d6,Sunil Gavaskar Pavilion F Block L2 ,306,300,Sunil Gavaskar Pavilion F Block L2 ,306
670edfe2bcf1c7d113fa7774,67601921ff7733b6863a85d6,Sunil Gavaskar Pavilion G Block L1,664,300,Sunil Gavaskar Pavilion G Block L1,664
670ee045bcf1c7d113fa8928,67601921ff7733b6863a85d6,Sunil Gavaskar Pavilion H Block L1 ,455,300,Sunil Gavaskar Pavilion H Block L1 ,455
670ee0a8751b3ca175dc9c51,67601921ff7733b6863a85d6,Sunil Gavaskar Pavilion I Block L1 ,449,300,Sunil Gavaskar Pavilion I Block L1 ,449
670ee1074af45ada2ccef79c,67601921ff7733b6863a85d6,Sunil Gavaskar Pavilion J Block L1 ,418,300,Sunil Gavaskar Pavilion J Block L1 ,418
670ee1c85817ecb6ab570a70,67601921ff7733b6863a85d6,Sunil Gavaskar Pavilion K Block L1 ,455,300,Sunil Gavaskar Pavilion K Block L1 ,455
670ee2297d9bda34b54cff72,67601921ff7733b6863a85d6,Sunil Gavaskar Pavilion L Block L1 ,664,300,Sunil Gavaskar Pavilion L Block L1 ,664
670ee30125f08d6035ea5616,67601921ff7733b6863a85d6,Sachin Tendulkar Stand A Block L3 ,757,350,Sachin Tendulkar Stand A Block L3 ,757
